"plot_id" "Domain" "Leaf_flush" "mean_ndvi" "sd_ndvi"
"134" 164 "Amazonia" "Evergreen" 0.379152112348556 0.108652621756795
"135" 165 "Amazonia" "Evergreen" 0.441860965860708 0.141775187270476
"136" 166 "Amazonia" "Evergreen" 0.529284375263659 0.0691324420901355
"137" 168 "Amazonia" "Evergreen" 0.382372641983639 0.148401092686271
"138" 170 "Amazonia" "Evergreen" 0.392288047916033 0.098496195466259
"139" 171 "Amazonia" "Evergreen" 0.357395101883364 0.09673744677352
"140" 172 "Amazonia" "Evergreen" 0.361322136122953 0.0908643368900502
"141" 173 "Amazonia" "Evergreen" 0.386693360724646 0.0854169796729163
"142" 174 "Amazonia" "Evergreen" 0.301409532905137 0.126494582758141
"143" 176 "Amazonia" "Evergreen" 0.419878900412775 0.117401999415231
"144" 177 "Amazonia" "Evergreen" 0.463277472859807 0.093396417447774
"145" 179 "Amazonia" "Evergreen" 0.441717471208739 0.0792629618334985
"146" 180 "Amazonia" "Evergreen" 0.451911687428075 0.0502336758163262
"147" 181 "Amazonia" "Evergreen" 0.473025827362505 0.133000492923158
"148" 182 "Amazonia" "Evergreen" 0.46416677144919 0.171430515190621
"149" 183 "Amazonia" "Evergreen" 0.488638681209829 0.110996740325241
"150" 184 "Amazonia" "Evergreen" 0.446678327194076 0.143413068890246
"151" 185 "Amazonia" "Evergreen" 0.428916798876916 0.149990026503522
"152" 187 "Amazonia" "Evergreen" 0.397002954358706 0.0888212539149542
"153" 188 "Amazonia" "Evergreen" 0.389918348789715 0.119718984414226
"154" 189 "Amazonia" "Evergreen" 0.385597656377264 0.109264753148328
"155" 190 "Amazonia" "Evergreen" 0.409439393160532 0.133655001519219
"156" 191 "Amazonia" "Evergreen" 0.38903312814602 0.0935972086558913
"157" 192 "Amazonia" "Evergreen" 0.454704356260437 0.10607306410939
"158" 194 "Amazonia" "Evergreen" 0.372632761050176 0.104300328091314
"159" 196 "Amazonia" "Evergreen" 0.443624699323664 0.0777137961674134
"160" 197 "Amazonia" "Evergreen" 0.446684831955965 0.0751675097126907
"161" 198 "Amazonia" "Evergreen" 0.447073917212075 0.107874283235377
"162" 199 "Amazonia" "Evergreen" 0.405156928617119 0.0604228988867277
"163" 200 "Amazonia" "Evergreen" 0.426922221770366 0.115896793372258
"164" 201 "Amazonia" "Evergreen" 0.403900522146461 0.0977373488362546
"165" 203 "Amazonia" "Evergreen" 0.359415534259111 0.146474255865071
"166" 204 "Amazonia" "Evergreen" 0.389244551998534 0.106344614935693
"167" 207 "Amazonia" "Evergreen" 0.462776181303189 0.0809379141788434
"168" 209 "Amazonia" "Evergreen" 0.418549446285159 0.107688133406154
"169" 210 "Amazonia" "Evergreen" 0.520244774608168 0.0872225518969956
"170" 211 "Amazonia" "Evergreen" 0.454838975818391 0.105894500606843
"171" 212 "Amazonia" "Evergreen" 0.428833964225453 0.0972655752054318
